Genus   Abundance   Accession   Label   Data    wrap    Taxonomy
Propionibacterium   0.977548497982102   Reference   28  A   Genus-level Classification  Genus-level
Intestinibacter 0.964076556729364   Reference   29  A   Genus-level Classification  Genus-level
Megasphaera 0.941419648945865   Reference   30  A   Genus-level Classification  Genus-level
Barnesiella 0.919393468477784   Reference   31  A   Genus-level Classification  Genus-level
Anaerococcus    0.772483279557112   Reference   32  A   Genus-level Classification  Genus-level
Peptoniphilus   0.70025514682755    Reference   33  A   Genus-level Classification  Genus-level
Desulfohalovibrio   0.601704003793624   Reference   34  A   Genus-level Classification  Genus-level
Oceanobacillus  0.575992010576073   Reference   35  A   Genus-level Classification  Genus-level
Erysipelatoclostridium  0.550900889559637   Reference   36  A   Genus-level Classification  Genus-level
Veillonella 0.474385782108098   Reference   37  A   Genus-level Classification  Genus-level
Bifidobacterium 0.473163747934477   Reference   38  A   Genus-level Classification  Genus-level
Ruminococcustorques 0.451738729438902   Reference   39  A   Genus-level Classification  Genus-level
Butyrivibrio    0.421739761499375   Reference   40  A   Genus-level Classification  Genus-level
Ligilactobacillus   0.421128744412565   Reference   41  A   Genus-level Classification  Genus-level
Turicibacter    0.412564650082917   Reference   42  A   Genus-level Classification  Genus-level
Oscillibacter   0.377056673247794   Reference   43  A   Genus-level Classification  Genus-level
Enterocloster   0.376445656160984   Reference   44  A   Genus-level Classification  Genus-level
Sporobacter 0.373390570726932   Reference   45  A   Genus-level Classification  Genus-level
Klebsiella  1.48439205413665    RiboTaxa    1   B   Genus-level Classification  Genus-level
Parabacteroides 9.9323291857673 RiboTaxa    2   B   Genus-level Classification  Genus-level
Ruminococcus    5.47915302335734    RiboTaxa    3   B   Genus-level Classification  Genus-level
Clostridium 1.15695263043004    RiboTaxa    4   B   Genus-level Classification  Genus-level
Haemophilus 7.85854616895874    RiboTaxa    5   B   Genus-level Classification  Genus-level
Enterococcus    4.71512770137525    RiboTaxa    6   B   Genus-level Classification  Genus-level
Escherichia 1.57170923379175    RiboTaxa    7   B   Genus-level Classification  Genus-level
Corynebacterium 5.74110456232264    RiboTaxa    8   B   Genus-level Classification  Genus-level
Bacteroides 2.51036891508404    RiboTaxa    9   B   Genus-level Classification  Genus-level
Streptococcus   0.91683038637852    RiboTaxa    10  B   Genus-level Classification  Genus-level
Neisseria   2.18292949137743    RiboTaxa    11  B   Genus-level Classification  Genus-level
Bacillus    3.23073564723859    RiboTaxa    12  B   Genus-level Classification  Genus-level
Lacrimispora    1.02597686094739    RiboTaxa    13  B   Genus-level Classification  Genus-level
Porphyromonas   4.12573673870334    RiboTaxa    14  B   Genus-level Classification  Genus-level
Eubacterium 2.3793931456014 RiboTaxa    15  B   Genus-level Classification  Genus-level
Leuconostoc 2.42305173542895    RiboTaxa    16  B   Genus-level Classification  Genus-level
Paenibacillus   3.68915084042785    RiboTaxa    17  B   Genus-level Classification  Genus-level
Lachnoclostridium   10.9801353416285    RiboTaxa    18  B   Genus-level Classification  Genus-level
Desulfovibrio   3.7328094302554 RiboTaxa    19  B   Genus-level Classification  Genus-level
Citrobacter 0.392927308447937   RiboTaxa    20  B   Genus-level Classification  Genus-level
Alistipes   1.09146474568871    RiboTaxa    21  B   Genus-level Classification  Genus-level
Roseburia   2.9687841082733 RiboTaxa    22  B   Genus-level Classification  Genus-level
Atopobium   2.31390526086007    RiboTaxa    23  B   Genus-level Classification  Genus-level
Thermoanaerobacterium   2.22658808120498    RiboTaxa    24  B   Genus-level Classification  Genus-level
Coprococcus 0.436585898275486   RiboTaxa    25  B   Genus-level Classification  Genus-level
Enterobacter    0.043658589827549   RiboTaxa    26  B   Genus-level Classification  Genus-level
Acholeplasma    1.30975769482646    RiboTaxa    27  B   Genus-level Classification  Genus-level
Propionibacterium   2.55402750491159    RiboTaxa    28  B   Genus-level Classification  Genus-level
Intestinibacter 0.349268718620389   RiboTaxa    29  B   Genus-level Classification  Genus-level
Megasphaera 1.81183147784327    RiboTaxa    30  B   Genus-level Classification  Genus-level
Barnesiella 0.698537437240777   RiboTaxa    31  B   Genus-level Classification  Genus-level
Anaerococcus    1.50622134905043    RiboTaxa    32  B   Genus-level Classification  Genus-level
Peptoniphilus   0.261951538965291   RiboTaxa    33  B   Genus-level Classification  Genus-level
Desulfohalovibrio   0.7640253219821 RiboTaxa    34  B   Genus-level Classification  Genus-level
Oceanobacillus  0.283780833879066   RiboTaxa    35  B   Genus-level Classification  Genus-level
Erysipelatoclostridium  0.261951538965291   RiboTaxa    36  B   Genus-level Classification  Genus-level
Veillonella 0.327439423706614   RiboTaxa    37  B   Genus-level Classification  Genus-level
Bifidobacterium 0.807683911809649   RiboTaxa    38  B   Genus-level Classification  Genus-level
Ruminococcustorques 1.11329404060249    RiboTaxa    39  B   Genus-level Classification  Genus-level
Butyrivibrio    0.392927308447937   RiboTaxa    40  B   Genus-level Classification  Genus-level
Ligilactobacillus   0.567561667758131   RiboTaxa    41  B   Genus-level Classification  Genus-level
Turicibacter    0.720366732154551   RiboTaxa    42  B   Genus-level Classification  Genus-level
Oscillibacter   0.676708142327003   RiboTaxa    43  B   Genus-level Classification  Genus-level
Enterocloster   0.371098013534163   RiboTaxa    44  B   Genus-level Classification  Genus-level
Sporobacter 0.61122025758568    RiboTaxa    45  B   Genus-level Classification  Genus-level
